,property_type,seller,status,rate per sqft,price,area,location,RERA
0,1 BHK Apartment in MKT Aspira Wondur & White Rock,MKT Praneeth Homes,Ready to move,"4,162 / sq ft", 26.1 L,627 ,Isnapur,not approval by RERA
1,2 BHK Apartment in Urbanrise On Cloud 33,Urbanrise Lifestyles Private Limited,Under Construction,"5,999 / sq ft", 66.58 L,1110 ,Bachupally,approval by RERA
2,4 BHK Villa in Sreenidhi Luxury Park 2,Phoenix Group,Under Construction,"8,000 / sq ft", 2.82 Cr,3532 ,Shamshabad,approval by RERA
3,4 BHK Villa in Vajra Nature City,Vajra Builders And Developers,Under Construction,"7,000 / sq ft", 1.61 Cr,2300 ,Bachupally,approval by RERA
4,1 BHK Apartment in Provident Manhattan Pods And Condos,Provident Housing Limited,Ready to move,"6,965 / sq ft", 42.49 L,610 ,Rajendra Nagar,not approval by RERA
5,2 BHK Apartment in Dinesh Auric,Dinesh Projects,Under Construction,"4,503 / sq ft", 52.96 L,1177 ,Bachupally,approval by RERA
6,2 BHK Apartment in Anuhar Towers,Anuhar Homes Pvt Ltd,Under Construction,"5,700 / sq ft", 70.56 L,1238 ,Manikonda,approval by RERA
7,2 BHK Apartment in IRA Aspiration,Ira Reality,Under Construction,"4,799 / sq ft", 62.14 L,1295 ,Kollur,approval by RERA
8,3 BHK Apartment in Praneeth Praneeth KKRs Pranav Jaitra,Praneeth Group,Under Construction,"6,899 / sq ft", 2.36 Cr,3435 ,Hyder Nagar,approval by RERA
9,3 BHK Apartment in Risinia Skyon,Risinia Builders,Under Construction,"4,999 / sq ft", 96.73 L,1935 ,Bachupally,approval by RERA
10,3 BHK Apartment in ELV 55 East Fort,ELV Projects,Under Construction,"5,200 / sq ft", 92.04 L,1770 ,Bandlaguda Jagir,approval by RERA
11,3 BHK Villa in N Square West Woods,N Square Projects,Under Construction,"3,847 / sq ft", 1.5 Cr,3900 ,Kollur,approval by RERA
12,3 BHK Apartment in Mahaveer Palm Grove,Mahaveer Group,Under Construction,"7,800 / sq ft", 1.17 Cr,1505 ,Begumpet,approval by RERA
13,2 BHK Apartment in Ramky Golden Circle,Ramky Estates Farms Ltd,Under Construction,"5,322 / sq ft", 71 L,1335 ,Tukkuguda,approval by RERA
14,3 BHK Apartment in Shreemukh Namitha 360 Life,Shreemukh Namitha Homes,Under Construction,"9,980 / sq ft", 2.47 Cr,2475 ,Hitech City,approval by RERA
15,3 BHK Apartment in Navya Uvera Heights,Navya Developers,Under Construction,"6,726 / sq ft", 1.66 Cr,2470 ,LB Nagar,approval by RERA
16,4 BHK Apartment in Hallmark Treasor,Hallmark Builders,Under Construction,"6,999 / sq ft", 3.55 Cr,5080 ,Gandipet,approval by RERA
17,3 BHK Apartment in GHR Titania,GHR Infra,Under Construction,"6,749 / sq ft", 1.19 Cr,1770 ,Kondapur,approval by RERA
